X_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
11616,TO,1507,2023-06
11617,NY,439,2023-07
11618,TO,1628,2023-07
11619,NY,412,2023-08
11620,TO,1649,2023-08
11621,NY,266,2023-09
11622,TO,1156,2023-09
11623,NY,296,2023-10
11624,TO,811,2023-10
11625,NY,260,2023-11
11626,TO,606,2023-11
11627,NY,99,2023-12
11628,TO,647,2023-12
